Name,Address,City,State,Zip Code,Latitude,Longitude,Rating,Category
Musée des Beaux-Arts de Montréal,"1380 Rue Sherbrooke O Montreal, QC H3G 1J5 Canada",Montreal,QC,H3G 1J5,45.498535,-73.579402,4.4,Art Museums
North Star,"3908 Boulevard Saint-Laurent Montreal, QC H2W 1Y2 Canada",Montreal,QC,H2W 1Y2,45.51624,-73.57832,4.3,"Bars, Arcades"
La Petite Marche,"5035 Rue Saint-Denis Montreal, QC H2J 2L9 Canada",Montreal,QC,H2J 2L9,45.526767424287,-73.5887682718476,3.6,"Music Venues, Bistros"
Barbie Expo,"1455 Rue Peel Montreal, QC H3A 1S5 Canada",Montreal,QC,H3A 1S5,45.500802,-73.574279,4.6,Children's Museums
Le Vestiaire,"6634 Rue Saint-Hubert Montreal, QC H2S 2M3 Canada",Montreal,QC,H2S 2M3,45.53701,-73.60569,4.5,"Pubs, Brasseries, Karaoke"
The Wiggle Room,"3874 Boulevard Saint-Laurent Montreal, QC H2W 1Y2 Canada",Montreal,QC,H2W 1Y2,45.5161283,-73.5775873,4.2,"Cabaret, Dance Studios"
Grumpy's Bar,"1242 Rue Bishop Montreal, QC H3G 2E3 Canada",Montreal,QC,H3G 2E3,45.49601,-73.57585,3.9,"Music Venues, Irish Pub"
BAnQ - Bibliothèque et Archives Nationales du Québec,"475 Boulevard de Maisonneuve E Montreal, QC H2L 5C4 Canada",Montreal,QC,H2L 5C4,45.5154271802525,-73.5622751573613,4.5,Libraries
Place des Arts,"260 Boulevard de Maisonneuve O 3e Étage Montreal, QC H2X 1Y9 Canada",Montreal,QC,H2X 1Y9,45.50835209811379,-73.56644086270447,4.4,Performing Arts
Cinéma du Parc,"3575 Avenue Du Parc Montreal, QC H2X 3P9 Canada",Montreal,QC,H2X 3P9,45.51029,-73.57505,4.6,Cinema
Orchestre Symphonique de Montréal,"1600 Rue Saint-Urbain Montreal, QC H2X 0S1 Canada",Montreal,QC,H2X 0S1,45.50906,-73.56617,5.0,Music Venues
Ezkapaz,"3955 Boulevard Saint-Laurent Montreal, QC H2X 1Y4 Canada",Montreal,QC,H2X 1Y4,45.516521,-73.577995,4.9,Escape Games
Musée Redpath,"859 Rue Sherbrooke O Montreal, QC H3A 0C4 Canada",Montreal,QC,H3A 0C4,45.504474,-73.5773825020281,4.4,Museums
Modo Yoga,"3863 Boulevard Saint-Laurent Suite 205 Montreal, QC H2W 1Y1 Canada",Montreal,QC,H2W 1Y1,45.516176,-73.577195,4.2,Yoga
