Name,Address,City,State,Zip Code,Phone,Rating,Review Count,Longitude,Latitude
Au Pied de Cochon,536 Avenue Duluth E,Montreal,QC,H2L 1A9,+15142811114,4.2,1453,-73.57445,45.522169
L'Express,3927 Rue Saint-Denis,Montreal,QC,H2W 2M4,+15148455333,4.3,724,-73.57437,45.52032
La Banquise,994 Rue Rachel E,Montreal,QC,H2J 2J3,+15145252415,4.0,2337,-73.574769,45.525354
Bouillon Bilk,22 Rue Ste-Catherine East,Montreal,QC,H2X 1K4,+15148451595,4.6,526,-73.56343199999999,45.51010242374259
Burger Bar Crescent,1465 Rue Crescent,Montreal,QC,H3G 2B2,+15149035575,4.3,585,-73.577052,45.498066
Deville Dinerbar,1425 Rue Stanley,Montreal,QC,H3A 1P4,+15142816556,4.0,635,-73.574147,45.499686
Modavie,1 Rue Saint-Paul O,Montreal,QC,H2Y 1Y6,+15142879582,4.1,1004,-73.55396,45.50548
Schwartz's,3895 Boulevard Saint-Laurent,Montreal,QC,H2W 1X9,+15148424813,4.1,3370,-73.577642,45.516353
L'Avenue,922 Avenue du Mont-Royal E,Montreal,QC,H2J 1X2,+15145238780,4.5,1310,-73.5802391312828,45.5266781712886
Ichigo Ichie,360 Rue Rachel E,Montreal,QC,H2W 1E9,+15142820009,4.5,125,-73.57842,45.52128
Monarque,406 Rue Saint-Jacques,Montreal,QC,H2Y 1S1,+15148753896,4.6,218,-73.55962,45.50158
Reuben's Deli & Steakhouse,1116 Rue Sainte-Catherine Ouest,Montreal,QC,H3B 1H4,+15148661029,4.0,723,-73.57294,45.49959
Barranco MTL,4552 Rue Saint-Denis,Montreal,QC,H2J 2L3,+15142829000,4.4,68,-73.58393073864245,45.52426823888716
Damas,1201 Avenue Van Horne,Montreal,QC,H2V 1K4,+15144395435,4.7,465,-73.61344,45.52258
Île Flottante,174-176 Rue Saint-Viateur O,Montreal,QC,H2T 2L3,+15142786854,4.6,140,-73.60079,45.52352
Ibéricos,4475 Rue Saint-Denis,Montreal,QC,H2J 2L2,+15148454475,4.4,84,-73.5824299603701,45.5239019496467
Toqué,900 Place Jean-Paul-Riopelle,Montreal,QC,H2Z 2B2,+15144992084,4.3,301,-73.5612041,45.5029475
Arepera,73 Rue Prince Arthur E,Montreal,QC,H2X 1B4,+15145087267,4.4,341,-73.572048,45.514992
Ma Poule Mouillée,969 Rue Rachel E,Montreal,QC,H2J 2J2,+15145225175,4.4,652,-73.5752667883391,45.5251692
Restaurant Bonaparte,447 Rue Saint-François-Xavier,Montreal,QC,H2Y 2T1,+15148444368,4.5,428,-73.556115,45.503344
Barroco,312 Rue Saint-Paul O,Montreal,QC,H2Y 2A3,+15145445800,4.3,321,-73.55592,45.50138
Poutineville,1365 Rue Ontario E,Montreal,QC,H2L 1S1,+15144195444,4.3,644,-73.5613,45.523205
Jérôme Ferrer Europea,1065 Rue de la Montagne,Montreal,QC,H3G 0B9,+15143989229,4.3,396,-73.5717854,45.4964748
Kazu,1844 Rue Sainte-Catherine O,Montreal,QC,H3H 1M1,+15149372333,4.3,744,-73.580078,45.492867
Le Majestique,4105 Boulevard Saint-Laurent,Montreal,QC,H2W 1Y7,+15144391850,4.4,218,-73.5802618,45.5175436
Il Focolaio,1223 Rue du Square-Phillips,Montreal,QC,H3B 3E9,+15148791045,4.3,515,-73.56807,45.50407
Les Deux Gamins,170 Rue Prince Arthur E,Montreal,QC,H2X 1B7,+15142883389,4.2,630,-73.57096217359745,45.51551334829121
Ferreira Café,1446 Rue Peel,Montreal,QC,H3A 1S8,+15148480988,4.0,272,-73.57415,45.50032
