Name,Address,City,State,Zip Code,Latitude,Longitude,Cuisine Type,Review Count,Rating
Au Pied de Cochon,"536 Avenue Duluth E Montreal, QC H2L 1A9 Canada",Montreal,QC,H2L 1A9,45.522169,-73.57445,Canadian (New),1453,4.2
L'Express,"3927 Rue Saint-Denis Montreal, QC H2W 2M4 Canada",Montreal,QC,H2W 2M4,45.52032,-73.57437,French,724,4.3
Bouillon Bilk,"22 Rue Ste-Catherine East Montreal, QC H2X 1K4 Canada",Montreal,QC,H2X 1K4,45.51010242374259,-73.56343199999999,Modern European,526,4.6
La Banquise,"994 Rue Rachel E Montreal, QC H2J 2J3 Canada",Montreal,QC,H2J 2J3,45.525354,-73.574769,Poutineries,2337,4.0
L'Avenue,"922 Avenue du Mont-Royal E Montreal, QC H2J 1X2 Canada",Montreal,QC,H2J 1X2,45.5266781712886,-73.5802391312828,Breakfast & Brunch,1310,4.5
Modavie,"1 Rue Saint-Paul O Montreal, QC H2Y 1Y6 Canada",Montreal,QC,H2Y 1Y6,45.50548,-73.55396,"French, Mediterranean",1004,4.1
Schwartz's,"3895 Boulevard Saint-Laurent Montreal, QC H2W 1X9 Canada",Montreal,QC,H2W 1X9,45.516353,-73.577642,"Delis, Sandwiches",3370,4.1
Burger Bar Crescent,"1465 Rue Crescent Montreal, QC H3G 2B2 Canada",Montreal,QC,H3G 2B2,45.498066,-73.577052,"Burgers, American, Poutineries",585,4.3
Restaurant Bonaparte,"447 Rue Saint-François-Xavier Montreal, QC H2Y 2T1 Canada",Montreal,QC,H2Y 2T1,45.503344,-73.556115,French,428,4.5
Deville Dinerbar,"1425 Rue Stanley Montreal, QC H3A 1P4 Canada",Montreal,QC,H3A 1P4,45.499686,-73.574147,Diners,635,4.0
Damas,"1201 Avenue Van Horne Montreal, QC H2V 1K4 Canada",Montreal,QC,H2V 1K4,45.52258,-73.61344,Syrian,465,4.7
Kazu,"1844 Rue Sainte-Catherine O Montreal, QC H3H 1M1 Canada",Montreal,QC,H3H 1M1,45.492867,-73.580078,Japanese,744,4.3
Le Majestique,"4105 Boulevard Saint-Laurent Montreal, QC H2W 1Y7 Canada",Montreal,QC,H2W 1Y7,45.5175436,-73.5802618,"Bars, Canadian (New)",218,4.4
Toqué,"900 Place Jean-Paul-Riopelle Montreal, QC H2Z 2B2 Canada",Montreal,QC,H2Z 2B2,45.5029475,-73.5612041,Canadian (New),301,4.3
Jérôme Ferrer Europea,"1065 Rue de la Montagne Montreal, QC H3G 0B9 Canada",Montreal,QC,H3G 0B9,45.4964748,-73.5717854,French,396,4.3
Ichigo Ichie,"360 Rue Rachel E Montreal, QC H2W 1E9 Canada",Montreal,QC,H2W 1E9,45.52128,-73.57842,"Japanese, Pubs",125,4.5
Reuben's Deli & Steakhouse,"1116 Rue Sainte-Catherine Ouest Montreal, QC H3B 1H4 Canada",Montreal,QC,H3B 1H4,45.49959,-73.57294,"Delis, Sandwiches, Steakhouses",723,4.0
Barranco MTL,"4552 Rue Saint-Denis Montreal, QC H2J 2L3 Canada",Montreal,QC,H2J 2L3,45.52426823888716,-73.58393073864245,"Tapas Bars, Peruvian, Cocktail Bars",68,4.4
Les Deux Gamins,"170 Rue Prince Arthur E Montreal, QC H2X 1B7 Canada",Montreal,QC,H2X 1B7,45.51551334829121,-73.57096217359745,"French, Wine Bars, Cocktail Bars",630,4.2
Monarque,"406 Rue Saint-Jacques Montreal, QC H2Y 1S1 Canada",Montreal,QC,H2Y 1S1,45.50158,-73.55962,Brasseries,218,4.6
Ferreira Café,"1446 Rue Peel Montreal, QC H3A 1S8 Canada",Montreal,QC,H3A 1S8,45.50032,-73.57415,"Portuguese, Seafood",272,4.0
Arepera,"73 Rue Prince Arthur E Montreal, QC H2X 1B4 Canada",Montreal,QC,H2X 1B4,45.514992,-73.572048,Venezuelan,341,4.4
Poutineville,"1365 Rue Ontario E Montreal, QC H2L 1S1 Canada",Montreal,QC,H2L 1S1,45.523205,-73.5613,Poutineries,644,4.3
Ma Poule Mouillée,"969 Rue Rachel E Montreal, QC H2J 2J2 Canada",Montreal,QC,H2J 2J2,45.5251692,-73.5752667883391,"Portuguese, Chicken Shop",652,4.4
Barroco,"312 Rue Saint-Paul O Montreal, QC H2Y 2A3 Canada",Montreal,QC,H2Y 2A3,45.50138,-73.55592,"Spanish, French, Cocktail Bars",321,4.3
Cadet,"1431 Boulevard Saint-Laurent Montreal, QC H2X 2S8 Canada",Montreal,QC,H2X 2S8,45.5103,-73.564418,"Bars, Canadian (New)",127,4.5
Joe Beef,"2491 Rue Notre-Dame Ouest Montreal, QC H3J 1N6 Canada",Montreal,QC,H3J 1N6,45.483062,-73.575308,"Seafood, Steakhouses",834,4.3
Dunn's,"1249 Rue Metcalfe Montreal, QC H3B 2V5 Canada",Montreal,QC,H3B 2V5,45.500616619166614,-73.57158873558198,"Poutineries, Burgers, Pizza",356,3.9
Bar George,"1440 Rue Drummond Montreal, QC H3G 1V9 Canada",Montreal,QC,H3G 1V9,45.49914524060438,-73.575678,"British, Breakfast & Brunch, Bars",275,4.3
BEVO Bar + Pizzeria,"410 Rue Saint Vincent Montreal, QC H2Y 3A6 Canada",Montreal,QC,H2Y 3A6,45.50696,-73.55324,"Bars, Pizza, Italian",418,4.0
Île Flottante,"174-176 Rue Saint-Viateur O Montreal, QC H2T 2L3 Canada",Montreal,QC,H2T 2L3,45.52352,-73.60079,French,140,4.6
Escondite,"1206 Avenue Union Montreal, QC H3B 3A7 Canada",Montreal,QC,H3B 3A7,45.502978,-73.567959,"Bars, Mexican",262,4.2
Leméac,"1045 Avenue Laurier O Montreal, QC H2V 2L1 Canada",Montreal,QC,H2V 2L1,45.51832,-73.59735,French,303,4.2
Onoir,"124 Rue Prince Arthur E Montreal, QC H2X 1B5 Canada",Montreal,QC,H2X 1B5,45.515113,-73.571405,"Desserts, Bars, Seafood",128,4.3
Saint Sushi Plateau,"424 Avenue Duluth E Montreal, QC H2L 1A3 Canada",Montreal,QC,H2L 1A3,45.521106,-73.575346,"Sushi Bars, Japanese",378,4.5
