Name,Address,City,State,Zip Code,Latitude,Longitude,Category,Review Count,Rating
STM,"800 Rue de la Gauchetière Ouest Montreal, QC H5A 1J6 Canada",Montreal,QC,H5A 1J6,45.49942,-73.56519,Public Transportation,91,3.1
Exo,"1000 Rue de la Gauchetière Montreal, QC H3B 4W5 Canada",Montreal,QC,H3B 4W5,45.49817,-73.56622,Public Transportation,0,0.0
Exo,"700 Rue de la Gauchetière O Montreal, QC H3B 5M2 Canada",Montreal,QC,H3B 5M2,45.50096033072341,-73.56489075828287,Public Transportation,6,2.0
De Castelnau Metro,"1 Rue de Castelnau O Montreal, QC H2R 2X9 Canada",Montreal,QC,H2R 2X9,45.53411,-73.62156,Public Transportation,1,5.0
Exo,"895 Rue de la Gauchetière O Montreal, QC H3B 2M9 Canada",Montreal,QC,H3B 2M9,45.50015,-73.56688,Public Transportation,0,0.0
Exo,"1290 Rue de la Gauchetière O Montreal, QC H3B 2S2 Canada",Montreal,QC,H3B 2S2,45.4963363,-73.5701067,Public Transportation,0,0.0
Terminus Centre-Ville,"1000 Rue de la Gauchetière O Montreal, QC H3B 4W5 Canada",Montreal,QC,H3B 4W5,45.497929,-73.566,Public Transportation,0,0.0
Pro movers for normal price and best rates,"9400 Rue Centrale Montreal, QC H8R 2K3 Canada",Montreal,QC,H8R 2K3,45.419497,-73.646342,"Professional Services, Public Transportation, Furniture Reupholstery",0,0.0
Exo,"300 Avenue Ogilvy Montreal, QC H3N 2Y4 Canada",Montreal,QC,H3N 2Y4,45.5312777,-73.6236279,Public Transportation,0,0.0
Terminus Mansfield,"900 Rue Saint-Jacques Montreal, QC H3C Canada",Montreal,QC,H3C,45.4981734343671,-73.5642119074097,Public Transportation,0,0.0
Terminus Longueuil,"Longueuil, QC J4K 1A2 Canada",Longueuil,QC,J4K 1A2,45.524913,-73.522073,Public Transportation,4,2.8
AT Xpress Transport / CanadaCarTransport,"Laval, QC H7L 3N8 Canada",Laval,QC,H7L 3N8,45.58106232,-73.75530243,Public Transportation,0,0.0
Exo,"120 Place Charles-Lemoyne Suite 300 Longueuil, QC J4K 2T4 Canada",Longueuil,QC,J4K 2T4,45.524258,-73.521769,Public Transportation,0,0.0
211 Autobus Bord du Lac,"620 Avenue Atwater Montreal, QC H4C 2G6 Canada",Montreal,QC,H4C 2G6,45.4828741,-73.5796961,Public Transportation,1,5.0
Exo,"5160 Boulevard de Maisonneuve O Montreal, QC H4A 3S9 Canada",Montreal,QC,H4A 3S9,45.47391,-73.60382,Public Transportation,0,0.0
Dilshad Transport Incorporation,"8562 avenue d'Outremont Suite- 1 Montreal, QC H3N 2M8 Canada",Montreal,QC,H3N 2M8,45.531777,-73.644378,Public Transportation,0,0.0
Exo,"535 Rue Lucien-Paiement Laval, QC H7N 5H9 Canada",Laval,QC,H7N 5H9,45.557964,-73.7202,Public Transportation,0,0.0
Avner Logistics,"5570 Rue Paré Mount Royal, QC H4P 2M1 Canada",Mount Royal,QC,H4P 2M1,45.4911,-73.66107,Public Transportation,0,0.0
Northway Express Transportation,"5076 Chemin du Souvenir Laval, QC H7W 1E4 Canada",Laval,QC,H7W 1E4,45.5342425264317,-73.77587110000002,Public Transportation,0,0.0
Exo,"7155 Rue Sherbrooke E Montreal, QC H1N 3M6 Canada",Montreal,QC,H1N 3M6,45.58866,-73.53995,Public Transportation,0,0.0
Exo,"50 Boulevard Taschereau La Prairie, QC J5R 4V3 Canada",La Prairie,QC,J5R 4V3,45.422043,-73.4866877,Public Transportation,0,0.0
Exo,"5365 Boulevard Saint-Laurent Sainte-Catherine, QC J5C 1K1 Canada",Sainte-Catherine,QC,J5C 1K1,45.3990393,-73.5724606,Public Transportation,0,0.0
CMB Freight,"10999 Bd Saint-Jean-Baptiste Montreal, QC H1B 4B3 Canada",Montreal,QC,H1B 4B3,45.650736,-73.533166,Public Transportation,0,0.0
Targipsum Technologies Inc.,"9160 Boulevard Leduc Brossard, QC J4Y 0E3 Canada",Brossard,QC,J4Y 0E3,45.4461823,-73.4393845,Public Transportation,0,0.0
Terminus Cartier,"Laval, QC H7N 0A3 Canada",Laval,QC,H7N 0A3,45.560096,-73.681816,Public Transportation,0,0.0
The Lux Bus,"1228 Rue Sherbrooke O Montreal, QC H3G Canada",Montreal,QC,H3G,45.49985,-73.5779699,Public Transportation,0,0.0
Reseau De Transport De Longueuil,"1150 Boulevard Marie-Victorin Longueuil, QC J4G 2M4 Canada",Longueuil,QC,J4G 2M4,45.55921,-73.49316,"Public Transportation, Buses",2,1.0
Métro de la Concorde,"1200 Boulevard de la Concorde O Laval, QC H7N 1J2 Canada",Laval,QC,H7N 1J2,45.5607120431042,-73.7096877621525,Public Transportation,0,0.0
Tran-Sport-Action,"Dorval, QC H9S 3H7 Canada",Dorval,QC,H9S 3H7,45.44547653,-73.74141693,"Couriers & Delivery Services, Public Transportation",0,0.0
Hachicho Transport,"10200 Bd de l'Acadie Apt 711 Montreal, QC H4N 0C1 Canada",Montreal,QC,H4N 0C1,45.53396,-73.67355,Public Transportation,0,0.0
Metro Cadillac,"6008 Rue Sherbrooke E Montreal, QC H1N Canada",Montreal,QC,H1N,45.5769234,-73.5463333,Public Transportation,0,0.0
Brossard Panama,"1895, Panama Street Brossard, QC J4W Canada",Brossard,QC,J4W,45.4676094,-73.4685593,Public Transportation,2,3.0
Conseil Intermunicipal De Transport Roussillon,"147 Rue Saint-Pierre Saint-Constant, QC J5A 2G9 Canada",Saint-Constant,QC,J5A 2G9,45.37153,-73.57158,Public Transportation,0,0.0
Stationnement Blinkay,"1931 Rue Sherbrooke O Montreal, QC H3H 1E3 Canada",Montreal,QC,H3H 1E3,45.4945846,-73.5850012,Parking,1,5.0
Impark,"1190 Avenue des Canadiens-de-Montréal Montreal, QC H3B 2S2 Canada",Montreal,QC,H3B 2S2,45.4967185843048,-73.568554893136,Parking,1,4.0
Indigo,"600 Boulevard de Maisonneuve O Montreal, QC H3A 3J2 Canada",Montreal,QC,H3A 3J2,45.5042,-73.57112,Parking,0,0.0
Indigo,"300 Rue Léo Pariseau Montreal, QC H2X 4B3 Canada",Montreal,QC,H2X 4B3,45.5111073567879,-73.5764475314756,Parking,0,0.0
Concordia LB Parking Garage,"1453 Rue Mackay Library Building - LB Montreal, QC H3G 2H6 Canada",Montreal,QC,H3G 2H6,45.49661,-73.57813,Parking,0,0.0
Indigo,"1664 Rue Saint-Hubert M302-Ilot Voyageur Montreal, QC H2L 0B4 Canada",Montreal,QC,H2L 0B4,45.51699119198933,-73.56259776313007,Parking,0,0.0
Indigo,"1500 Avenue McGill College Montreal, QC H3A 3J5 Canada",Montreal,QC,H3A 3J5,45.50228600861905,-73.57218054127189,Parking,0,0.0
Indigo,"900 Boulevard René-Lévesque O Montreal, QC H4A 3L5 Canada",Montreal,QC,H4A 3L5,45.50101977959202,-73.5670097698513,Parking,0,0.0
Indigo,"1100 Avenue du Docteur-Penfield Montreal, QC H3A 1A8 Canada",Montreal,QC,H3A 1A8,45.502845,-73.579703,Parking,0,0.0
Indigo,"2020 Boulevard Robert-Bourassa Montreal, QC H3A 2A5 Canada",Montreal,QC,H3A 2A5,45.503964,-73.572286,Parking,0,0.0
Indigo,"1981 Avenue McGill College Montreal, QC H3A 3A8 Canada",Montreal,QC,H3A 3A8,45.50343337524035,-73.5731297,Parking,0,0.0
Indigo,"500 Boulevard René-Lévesque O Montreal, QC H2Z 1W7 Canada",Montreal,QC,H2Z 1W7,45.50288490110185,-73.56541484424423,Parking,0,0.0
Concordia Faubourg Parking Garage,"1250 Rue Guy Concordia Faubourg Building Montreal, QC H3H 2T4 Canada",Montreal,QC,H3H 2T4,45.49467,-73.57741,Parking,0,0.0
Indigo,"629 Rue Saint-Antoine O Montreal, QC H3C 6J7 Canada",Montreal,QC,H3C 6J7,45.50098146910648,-73.56254788394256,Parking,0,0.0
Indigo,"355 Sainte-Catherine O Montreal, QC H3B 1A5 Canada",Montreal,QC,H3B 1A5,45.50618743384763,-73.56738401779204,Parking,0,0.0
Indigo,"1350 René-Lévesque Boulevard W Montreal, QC H3G 1T4 Canada",Montreal,QC,H3G 1T4,45.496089080695306,-73.57212367055227,Parking,0,0.0
Indigo,"900 Rue Saint-Antoine Ouest Montreal, QC H3B 3A7 Canada",Montreal,QC,H3B 3A7,45.49865041170583,-73.56442871969774,Parking,0,0.0
Indigo,"1445 Rue Stanley Montreal, QC H3A 3T1 Canada",Montreal,QC,H3A 3T1,45.49982616,-73.57450058,Parking,0,0.0
